REGION_NAME,SYSTEM_ID,SYSTEM_NAME,ABANK_MRID,SBTRN_SUB_KEY,SBTRN_SUB_SECTION_NAME,SBTRN_SUB_ALIASNAME,SBTRN_SUB_TYPE,SBTRN_SUB_KEY,SUB_KEY,SUB_ID,SUB_NUM,SUB_NAME,SUB_LATITUDE,SUB_LONGITUDE,SUB_TYPE,SUB_PARENT_KEY,CIRCUIT_KEY,CIRCUIT_NAME,CIRCUIT_KV
DESERT,41,VISTA,B1C74AB01D78D8C0E053A040810A12E1,ABK_334_5064,,VISTA 115,A-BANK,ABK_334_5064,SUB_1742_8239,1742,8239,SIXTEENTH STREET,34.128901,-117.304374,D -- DISTRIBUTION,SUB_1610_8042,CKT_2149_12312,MUFFIN,12
ORANGE,58,OLINDA,B1C74AB01D88D8C0E053A040810A12E1,ABK_378_5087,,OLINDA,A-BANK,ABK_378_5087,SUB_1006_5892,1006,5892,TELEGRAPH,33.932092,-117.992155,S -- SUB-TRANSMISSION,,CKT_3457_11660,MERCADO,12
RURALS,66,VICTOR,B1C74AB01D4BD8C0E053A040810A12E1,ABK_1622_8049,,VICTOR,A-BANK,ABK_1622_8049,SUB_1833_8079,1833,8079,AQUEDUCT,34.415389,-117.355608,D -- DISTRIBUTION,,CKT_4836_03525,CISTERN,12
NORTH COAST,37,MOORPARK,B1C83FDA0C1E95B9E053A140810ACB23,ABK_325_5056,SEC_C,MOORPARK,A-BANK,ABK_325_5056,SUB_506_5236,506,5236,VALDEZ,34.147657,-118.631737,S -- SUB-TRANSMISSION,,CKT_2078_11914,MILO,16
NORTH COAST,36,GOLETA,B1C74AB01D74D8C0E053A040810A12E1,ABK_321_5055,,GOLETA,A-BANK,ABK_321_5055,SUB_320_5055,320,5055,GOLETA,34.468439,-119.883744,T -- TRANSMISSION,,CKT_3205_01610,BIDDER,16
METRO WEST,48,LIGHTHIPE,B1C74AB01D82D8C0E053A040810A12E1,ABK_357_5073,SEC_DEF,LIGHTHIPE,A-BANK,ABK_357_5073,SUB_907_5785,907,5785,SUNNYSIDE,33.853128,-118.167142,S -- SUB-TRANSMISSION,,CKT_1585_18980,WANDA,12
SAN JOAQUIN,28,RECTOR,B1C74AB01D6BD8C0E053A040810A12E1,ABK_305_5033,,RECTOR,A-BANK,ABK_305_5033,SUB_571_5312,571,5312,LIBERTY,36.283263,-119.332175,S -- SUB-TRANSMISSION,,CKT_2300_04368,CRESTWOOD,12
DESERT,41,VISTA,B1C74AB01D78D8C0E053A040810A12E1,ABK_334_5064,,VISTA 115,A-BANK,ABK_334_5064,SUB_1610_8042,1610,8042,CALECTRIC,34.093827,-117.317513,S -- SUB-TRANSMISSION,,CKT_3805_06607,FONRI,33
DESERT,43,DEVERS,B1C74AB01D7BD8C0E053A040810A12E1,ABK_340_5067,,DEVERS,A-BANK,ABK_340_5067,SUB_1614_8044,1614,8044,GARNET,33.901576,-116.5434,S -- SUB-TRANSMISSION,SUB_1613_8044,CKT_3258_05082,DILLON,12
ORANGE,53,VILLA PARK,B1C74AB01D85D8C0E053A040810A12E1,ABK_368_5082,,VILLA PARK,A-BANK,ABK_368_5082,SUB_968_5856,968,5856,WASHINGTON,33.756047,-117.859514,S -- SUB-TRANSMISSION,,CKT_3730_03615,CLEAT,12
ORANGE,58,OLINDA,B1C74AB01D88D8C0E053A040810A12E1,ABK_378_5087,,OLINDA,A-BANK,ABK_378_5087,SUB_928_5816,928,5816,PARKWOOD,33.915423,-117.963871,S -- SUB-TRANSMISSION,,CKT_4828_07825,HACKBERRY,12
RURALS,64,INYO SCE,B1C74AB01D49D8C0E053A040810A12E1,ABK_1615_8015,,INYO SCE,A-BANK,ABK_1615_8015,SUB_198_2583,198,2583,JUNE LAKE,37.767174,-119.1234,D -- DISTRIBUTION,SUB_180_2514,CKT_2763_07763,GULL LAKE,12
SAN JACINTO VALLEY,46,VALLEY,B1C83FDA0C2395B9E053A140810ACB23,ABK_350_5070,SEC_G,VALLEY,A-BANK,ABK_350_5070,SUB_1667_8343,1667,8343,ELSINORE,33.674578,-117.326114,S -- SUB-TRANSMISSION,,CKT_2148_12304,MUDDY,12
